,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
50,Pokemon X/Pokemon Y,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
51,Need for Speed: Most Wanted,Racing,Electronic Arts,6.29,5.8500000000000005,0.18,1.76,14.08
52,Battlefield 4,Shooter,Electronic Arts,6.41,5.57,0.46,1.6,14.03
53,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment,7.71,4.05,0.0,1.9,13.67
54,Donkey Kong Country,Platform,Nintendo,6.6000000000000005,2.91,3.59,0.43000000000000005,13.530000000000001
55,Mario & Sonic at the Olympic Games,Sports,Sega,4.22,6.38,1.1,1.49,13.2
56,Assassin's Creed IV: Black Flag,Action,Ubisoft,6.17,5.18,0.2,1.65,13.16
57,FIFA 12,Sports,Electronic Arts,2.08,8.5,0.15,2.41,13.15
58,Grand Theft Auto III,Action,Take-Two Interactive,6.99,4.52,0.3,1.3,13.11
59,Assassin's Creed III,Action,Ubisoft,6.24,4.93,0.19,1.74,13.1
60,Super Smash Bros. Brawl,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
61,Red Dead Redemption,Action,Take-Two Interactive,6.49,4.58,0.26,1.6,12.94
62,Just Dance 3,Misc,Ubisoft,7.85,3.76,0.0,1.32,12.92
63,Destiny,Shooter,Activision,6.59,4.12,0.28,1.62,12.61
64,FIFA Soccer 11,Sports,Electronic Arts,1.94,8.01,0.09,2.51,12.56
65,Super Smash Bros. for Wii U and 3DS,Fighting,Nintendo,5.83,2.41,3.2199999999999998,1.0,12.469999999999999
66,Fallout 4,Role-Playing,Bethesda Softworks,5.42,5.04,0.25,1.57,12.28
67,Animal Crossing: Wild World,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
68,Mario Kart 7,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
69,Halo 3,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
70,LEGO Indiana Jones: The Original Adventures,Action,Activision,6.82,3.23,0.0,2.03,12.05
71,Pokemon HeartGold/Pokemon SoulSilver,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
72,The Legend of Zelda: Ocarina of Time,Action,Nintendo,6.129999999999999,3.16,2.07,0.45999999999999996,11.809999999999999
73,Star Wars Battlefront (2015),Shooter,Electronic Arts,5.0,4.88,0.24,1.58,11.7
74,Gran Turismo 4,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
75,Super Mario Galaxy,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
76,Assassin's Creed II,Action,Ubisoft,5.65,3.96,0.29,1.49,11.41
77,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
78,Assassin's Creed,Adventure,Ubisoft,5.199999999999999,4.4799999999999995,0.16,1.46,11.3
79,Grand Theft Auto: Liberty City Stories,Action,Take-Two Interactive,4.46,4.23,0.31,2.25,11.26
80,Batman: Arkham City,Action,Warner Bros. Interactive Entertainment,6.0200000000000005,3.68,0.15,1.33,11.2
81,Super Mario Land 2: 6 Golden Coins,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
82,Diablo III,Role-Playing,Activision,4.87,4.54,0.21,1.44,11.08
83,Need for Speed Underground 2,Racing,Electronic Arts,5.21,4.41,0.09,1.25,10.97
84,Gran Turismo,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
85,Super Mario 3D Land,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
86,Gran Turismo 5,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
87,FIFA Soccer 10,Sports,Electronic Arts,1.94,6.23,0.07,2.49,10.74
88,Super Mario All-Stars,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
89,The Last of Us,Action,Sony Computer Entertainment Europe,4.19,4.15,0.35000000000000003,1.83,10.54
90,Pokemon FireRed/Pokemon LeafGreen,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
91,Need for Speed Underground,Racing,Electronic Arts,5.26,3.98,0.09,1.1400000000000001,10.46
92,Star Wars: The Force Unleashed,Action,LucasArts,5.32,2.9699999999999998,0.01,1.9100000000000001,10.23
93,Dr. Mario,Puzzle,Nintendo,4.800000000000001,1.56,3.52,0.30000000000000004,10.19
94,Guitar Hero: World Tour,Misc,Activision,6.21,2.23,0.0,1.65,10.08
95,Madden NFL 07,Sports,Electronic Arts,8.66,0.44,0.03,0.93,10.030000000000001
96,Fallout 3,Role-Playing,Bethesda Softworks,5.56,3.11,0.16,1.1099999999999999,9.959999999999999
97,Halo: Reach,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
98,Mario Kart 64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
99,LEGO Marvel Super Heroes,Action,Warner Bros. Interactive Entertainment,4.41,4.14,0.08,1.23,9.86
100,New Super Mario Bros. 2,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
101,Zumba Fitness,Sports,505 Games,5.52,3.33,0.0,0.9400000000000001,9.79
102,Halo 4,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
103,Final Fantasy VII,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
104,Just Dance 2,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
105,FIFA Soccer 08,Sports,Electronic Arts,1.96,3.97,0.04,3.53,9.49
106,Gran Turismo 2,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
107,Watch Dogs,Action,Ubisoft,3.8,4.04,0.22,1.44,9.49
108,Assassin's Creed: Revelations,Action,Ubisoft,3.8000000000000003,3.9699999999999998,0.14,1.29,9.190000000000001
109,Animal Crossing: New Leaf,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
110,Madden NFL 06,Sports,Electronic Arts,7.68,0.46,0.02,0.86,9.03
111,Pac-Man,Puzzle,Atari,7.550000000000001,0.53,0.85,0.1,9.03
112,Mario Party DS,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
113,Just Dance 4,Misc,Ubisoft,5.52,2.67,0.0,0.7300000000000001,8.93
114,Medal of Honor: Frontline,Shooter,Electronic Arts,4.390000000000001,3.3,0.17,1.07,8.91
115,The Legend of Zelda: Twilight Princess,Action,Nintendo,4.98,2.55,0.64,0.74,8.9
116,Super Mario Kart,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
117,Resident Evil 5,Action,Capcom,4.08,2.4099999999999997,1.2000000000000002,1.0,8.69
118,Far Cry 4,Shooter,Ubisoft,2.8400000000000003,4.45,0.19,1.18,8.68
119,FIFA Soccer 09,Sports,Electronic Arts,1.7,4.02,0.08,2.86,8.67
120,Medal of Honor,Shooter,Electronic Arts,4.47,3.18,0.11000000000000001,0.85,8.61
121,Halo 2,Shooter,Microsoft Game Studios,6.83,1.59,0.05,0.1,8.59
122,Need for Speed: ProStreet,Racing,Electronic Arts,3.35,2.56,0.1,2.61,8.58
123,LEGO Harry Potter: Years 1-4,Action,Warner Bros. Interactive Entertainment,4.01,3.5,0.0,1.01,8.530000000000001
124,LittleBigPlanet,Platform,Sony Computer Entertainment,3.44,3.29,0.18000000000000002,1.5899999999999999,8.5
125,Wii Party,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
126,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment,0.27999999999999997,3.38,1.3,3.5100000000000002,8.47
127,Donkey Kong Country Returns,Platform,Nintendo,3.98,2.46,1.4300000000000002,0.59,8.46
128,Tony Hawk's Pro Skater,Sports,Activision,6.0,2.16,0.03,0.28,8.459999999999999
129,Mario Party 8,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
130,Fallout: New Vegas,Role-Playing,Bethesda Softworks,4.75,2.5900000000000003,0.14,0.94,8.41
131,Mortal Kombat,Fighting,Warner Bros. Interactive Entertainment,6.04,1.69,0.0,0.6799999999999999,8.4
132,Spider-Man: The Movie,Action,Activision,5.5600000000000005,2.41,0.05,0.37,8.4
133,Pokemon Black 2/Pokemon White 2,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
134,Kingdom Hearts,Role-Playing,Sony Computer Entertainment,4.54,1.5699999999999998,1.74,0.31,8.15
135,Madden NFL 08,Sports,Electronic Arts,7.15,0.23,0.0,0.78,8.15
136,Mario & Sonic at the Olympic Winter Games,Sports,Sega,3.11,3.65,0.49,0.86,8.1
137,GoldenEye 007,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
138,Batman: Arkham Asylum,Action,Eidos Interactive,4.43,2.58,0.09000000000000001,0.97,8.07
139,Tony Hawk's Pro Skater 3,Sports,Activision,5.16,2.29,0.030000000000000002,0.5800000000000001,8.05
140,Final Fantasy X,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
141,NBA 2K16,Sports,Take-Two Interactive,5.64,1.1400000000000001,0.06,1.17,8.03
142,Assassin's Creed: Unity,Action,Ubisoft,3.6099999999999994,3.18,0.08,1.05,7.93
143,Final Fantasy VIII,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
144,Pokémon Platinum Version,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
145,The Elder Scrolls IV: Oblivion,Role-Playing,Take-Two Interactive,4.52,2.12,0.27,0.87,7.77
146,Monopoly,Misc,Hasbro Interactive,4.67,2.49,0.0,0.53,7.7
147,Super Mario Galaxy 2,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
148,Spider-Man 2,Action,Activision,4.74,2.14,0.05,0.6900000000000001,7.640000000000001
149,Harry Potter and the Chamber of Secrets,Action,Electronic Arts,3.66,3.18,0.11,0.68,7.64
150,Harry Potter and the Sorcerer's Stone,Action,Electronic Arts,3.44,3.47,0.32,0.42,7.64
151,Madden NFL 2005,Sports,Electronic Arts,6.85,0.53,0.01,0.21000000000000002,7.6000000000000005
152,Namco Museum,Misc,Namco Bandai Games,5.98,1.4200000000000002,0.05,0.15,7.6000000000000005
153,Resident Evil 4,Action,Capcom,4.4,1.8399999999999999,0.8200000000000001,0.53,7.6
154,Crash Bandicoot 2: Cortex Strikes Back,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
155,Madden NFL 10,Sports,Electronic Arts,6.56,0.33999999999999997,0.0,0.67,7.57
156,LEGO Star Wars III: The Clone Wars,Action,LucasArts,3.95,2.81,0.0,0.8200000000000001,7.56
157,Call of Duty 3,Shooter,Activision,4.17,2.43,0.05,0.91,7.56
158,Tomb Raider II,Action,Eidos Interactive,3.21,3.71,0.2,0.41000000000000003,7.53
159,Final Fantasy XIII,Role-Playing,Square Enix,3.01,1.92,1.8800000000000001,0.72,7.53
160,Far Cry 3,Shooter,Ubisoft,2.4699999999999998,3.72,0.12000000000000001,1.1400000000000001,7.470000000000001
161,Super Mario Bros. 2,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
162,Madden NFL 16,Sports,Electronic Arts,5.78,0.54,0.0,1.1,7.42
163,WWE SmackDown vs Raw 2008,Fighting,THQ,3.4,1.8599999999999999,0.02,2.15,7.41
164,LEGO Star Wars II: The Original Trilogy,Action,LucasArts,5.08,1.55,0.01,0.6900000000000001,7.35
165,Rock Band,Misc,Electronic Arts,4.98,1.37,0.0,0.98,7.32
166,Guitar Hero II,Misc,RedOctane,5.82,0.65,0.0,0.8500000000000001,7.32
167,The Legend of Zelda: A Link to the Past,Action,Nintendo,4.17,1.4300000000000002,1.48,0.23,7.3100000000000005
168,Street Fighter IV,Fighting,Capcom,3.91,1.81,0.73,0.81,7.2700000000000005
169,Just Dance,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
170,LEGO Star Wars: The Video Game,Action,Eidos Interactive,4.72,2.01,0.01,0.52,7.26
171,Crash Bandicoot: The Wrath of Cortex,Platform,Universal Interactive,3.1199999999999997,2.98,0.24,0.9099999999999999,7.24
172,Battlefield: Bad Company 2,Shooter,Electronic Arts,3.61,2.67,0.12000000000000001,0.77,7.16
173,Tekken 3,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
174,Madden NFL 2004,Sports,Electronic Arts,5.8999999999999995,0.46,0.01,0.7799999999999999,7.140000000000001
175,Madden NFL 09,Sports,Electronic Arts,6.07,0.31,0.0,0.75,7.14
176,Crash Bandicoot 3: Warped,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
177,The Simpsons Game,Action,Electronic Arts,2.53,2.6100000000000003,0.0,1.9799999999999998,7.12
178,Borderlands 2,Shooter,Take-Two Interactive,3.79,2.3,0.15000000000000002,0.8999999999999999,7.109999999999999
179,Super Smash Bros. Melee,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
180,NBA 2K15,Sports,Take-Two Interactive,5.01,1.1300000000000001,0.03,0.89,7.06
181,Final Fantasy III,Role-Playing,SquareSoft,1.77,0.05,5.12,0.12,7.05
182,Sonic the Hedgehog,Platform,Sega,3.88,1.95,0.3,0.9,7.05
183,The Simpsons: Hit & Run,Racing,Vivendi Games,3.2,2.9699999999999998,0.0,0.89,7.04
184,Super Mario World 2: Yoshi's Island,Platform,Nintendo,3.4,1.06,2.38,0.18,7.03
185,Madden NFL 15,Sports,Electronic Arts,5.66,0.58,0.0,0.73,6.97
186,Mario Kart 8,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
187,Mario Kart: Double Dash!!,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
188,Assassin's Creed: Brotherhood,Action,Ubisoft,4.86,1.3,0.14,0.64,6.93
189,Need For Speed: Undercover,Racing,Electronic Arts,2.48,2.55,0.12,1.79,6.92
190,FIFA 17,Sports,Electronic Arts,0.5,5.48,0.06999999999999999,0.85,6.909999999999999
191,PES 2009: Pro Evolution Soccer,Sports,Konami Digital Entertainment,0.5,2.7600000000000002,1.0,2.6199999999999997,6.86
192,Cars,Racing,THQ,5.31,0.97,0.0,0.6,6.859999999999999
193,Uncharted 3: Drake's Deception,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
194,Crash Bandicoot,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
195,Tomb Raider (2013),Action,Square Enix,2.33,3.2800000000000002,0.15,1.04,6.8
196,Gears of War 2,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
197,Uncharted 2: Among Thieves,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
198,Medal of Honor: Rising Sun,Shooter,Electronic Arts,3.07,2.68,0.13,0.8600000000000001,6.72
199,NBA 2K14,Sports,Take-Two Interactive,5.12,0.9500000000000001,0.05,0.6000000000000001,6.72
200,Madden NFL 11,Sports,Electronic Arts,5.88,0.29,0.0,0.52,6.68
201,Star Wars: Battlefront II,Shooter,LucasArts,4.47,1.6,0.04,0.57,6.67
202,Big Brain Academy,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
203,Teenage Mutant Ninja Turtles,Action,Palcom,4.9799999999999995,1.18,0.31,0.19999999999999998,6.67
204,The Lord of the Rings: The Two Towers,Action,Electronic Arts,3.33,2.5,0.08,0.75,6.65
205,Tony Hawk's Pro Skater 2,Sports,Activision,4.49,1.88,0.02,0.23,6.619999999999999
206,Just Dance 2014,Misc,Ubisoft,3.68,2.31,0.0,0.6,6.58
207,Madden NFL 13,Sports,Electronic Arts,5.67,0.4,0.0,0.47000000000000003,6.53
208,The Legend of Zelda,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
209,Halo: Combat Evolved,Shooter,Microsoft Game Studios,4.99,1.32,0.08,0.08,6.47
210,Tony Hawk's Underground,Sports,Activision,4.11,1.8399999999999999,0.01,0.5,6.47
211,Finding Nemo,Action,THQ,4.02,1.99,0.09,0.36,6.46
212,Resident Evil 2,Action,Virgin Interactive,2.31,1.57,2.09,0.46,6.44
213,Kung Fu Panda,Action,Activision,3.42,1.96,0.0,1.02,6.42
214,Need for Speed Carbon,Racing,Electronic Arts,3.55,2.14,0.12000000000000001,0.59,6.42
215,Pokémon Emerald Version,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
216,Madden NFL 2002,Sports,Electronic Arts,4.92,0.93,0.01,0.57,6.41
217,Pokémon Crystal Version,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
218,FIFA Soccer 07,Sports,Electronic Arts,1.54,3.54,0.03,1.27,6.380000000000001
219,Michael Jackson: The Experience,Misc,Ubisoft,3.92,1.85,0.01,0.6,6.37
220,LEGO Batman 2: DC Super Heroes,Action,Warner Bros. Interactive Entertainment,3.4,2.31,0.0,0.65,6.37
221,The Legend of Zelda: The Wind Waker,Action,Nintendo,3.5300000000000002,1.56,1.03,0.26,6.369999999999999
222,Halo 3: ODST,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
223,Frogger,Action,Hasbro Interactive,5.85,0.39,0.0,0.13,6.36
224,Super Mario Sunshine,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
225,Street Fighter II: The World Warrior,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
226,World of Warcraft,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
227,Driver,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
228,Skylanders SWAP Force,Platform,Activision,3.5300000000000002,2.08,0.0,0.66,6.26
229,Kinect Sports,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
230,Gears of War 3,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
231,Carnival Games,Misc,Take-Two Interactive,3.36,2.14,0.05,0.61,6.1499999999999995
232,Gears of War,Shooter,Microsoft Game Studios,3.54,1.91,0.07,0.6,6.13
233,Golf,Sports,Nintendo,2.05,0.6100000000000001,3.38,0.08,6.13
234,Metal Gear Solid,Action,Konami Digital Entertainment,3.18,1.83,0.8500000000000001,0.24,6.1000000000000005
235,NBA 2K13,Sports,Take-Two Interactive,4.79,0.74,0.060000000000000005,0.5,6.1
236,The Simpsons: Road Rage,Racing,Electronic Arts,3.85,1.8,0.0,0.45999999999999996,6.09
237,Toy Story 3: The Video Game,Action,Disney Interactive Studios,2.7600000000000002,2.56,0.02,0.73,6.08
238,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,Square Enix,0.65,0.75,4.47,0.2,6.07
239,Grand Theft Auto: Vice City Stories,Action,Take-Two Interactive,2.48,2.05,0.19,1.3399999999999999,6.05
240,Metal Gear Solid 2: Sons of Liberty,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
241,Sonic the Hedgehog 2,Platform,Sega,4.47,1.2,0.16,0.19,6.03
242,Metal Gear Solid 4: Guns of the Patriots,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
243,Tom Clancy's Splinter Cell,Action,Ubisoft,3.25,2.23,0.0,0.54,6.0
244,Tom Clancy's The Division,Shooter,Ubisoft,2.68,2.37,0.15,0.7799999999999999,5.989999999999999
245,Pro Evolution Soccer 2010,Sports,Konami Digital Entertainment,0.73,2.64,0.87,1.73,5.9799999999999995
246,Final Fantasy XII,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
247,L.A. Noire,Adventure,Take-Two Interactive,2.79,2.27,0.13999999999999999,0.75,5.95
248,Need for Speed: Hot Pursuit,Racing,Electronic Arts,2.38,2.67,0.03,0.7999999999999999,5.890000000000001
249,Dragon Quest VII: Warriors of Eden,Role-Playing,Enix Corporation,0.27,0.18000000000000002,5.3999999999999995,0.03,5.89
250,Madden NFL 2003,Sports,Electronic Arts,4.8,0.48,0.01,0.6100000000000001,5.89
251,Middle-Earth: Shadow of Mordor,Action,Warner Bros. Interactive Entertainment,2.33,2.65,0.07,0.8200000000000001,5.8500000000000005
252,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
253,Mass Effect 3,Role-Playing,Electronic Arts,3.11,2.0,0.06,0.6,5.779999999999999
254,Monster Hunter Tri,Role-Playing,Nintendo,1.3900000000000001,0.8899999999999999,3.23,0.22,5.76
255,Tony Hawk's Pro Skater 4,Sports,Activision,3.58,1.75,0.01,0.42,5.75
256,Tekken 2,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
257,Borderlands,Shooter,Take-Two Interactive,3.6,1.49,0.03,0.62,5.7299999999999995
258,Cooking Mama,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
259,The Lord of the Rings: The Return of the King,Action,Electronic Arts,3.14,1.95,0.05,0.54,5.67
260,Tomb Raider,Action,Eidos Interactive,3.25,2.04,0.13,0.24,5.66
261,Donkey Kong,Platform,Nintendo,3.16,0.75,1.3900000000000001,0.37000000000000005,5.66
262,Kingdom Hearts II,Role-Playing,Square Enix,2.72,1.01,1.5599999999999998,0.36,5.65
263,LEGO Pirates of the Caribbean: The Video Game,Action,Disney Interactive Studios,2.45,2.52,0.0,0.67,5.65
264,Saints Row: The Third,Action,THQ,2.27,2.37,0.25,0.75,5.640000000000001
265,The Witcher 3: Wild Hunt,Role-Playing,Namco Bandai Games,1.82,2.89,0.21,0.7200000000000001,5.64
266,Madden NFL 12,Sports,Electronic Arts,4.99,0.26,0.0,0.38,5.62
267,Skylanders Giants,Action,Activision,3.0100000000000002,1.98,0.0,0.6,5.59
268,Star Wars Episode III: Revenge of the Sith,Action,LucasArts,3.06,1.99,0.03,0.51,5.59
269,Star Wars: Battlefront,Shooter,LucasArts,3.23,1.79,0.03,0.53,5.56
270,Fight Night Round 3,Fighting,Electronic Arts,3.93,1.1,0.02,0.52,5.55
271,Super Smash Bros.,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
272,Madden NFL 25,Sports,Electronic Arts,4.85,0.28,0.0,0.4,5.54
273,NBA 2K12,Sports,Take-Two Interactive,4.53,0.52,0.060000000000000005,0.41,5.53
274,Winning Eleven: Pro Evolution Soccer 2007,Sports,Konami Digital Entertainment,0.2,3.12,1.34,0.88,5.529999999999999
275,Forza Motorsport 3,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
276,Monster Hunter Freedom Unite,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
277,Super Mario Advance,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
278,Sega Superstars Tennis,Sports,Sega,2.55,2.08,0.0,0.8500000000000001,5.49
279,Mario Kart: Super Circuit,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
280,God of War III,Action,Sony Computer Entertainment,2.97,1.6500000000000001,0.13,0.73,5.47
281,Sonic Heroes,Platform,Sega,2.5,2.24,0.13,0.58,5.46
282,Asteroids,Shooter,Atari,4.64,0.69,0.0,0.12000000000000001,5.459999999999999
283,Fable III,Role-Playing,Microsoft Game Studios,3.6799999999999997,1.28,0.05,0.43,5.45
284,Pokemon Stadium,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
285,Skylanders: Spyro's Adventure,Action,Activision,2.69,2.12,0.0,0.63,5.44
